141278	48830
140618	63403
140568	70176
140543	70703
140328	76111
139508	79261
138977	86321
138523	89408
138448	92066
137518	92116
137472	99493
137047	103703
136212	106933
135668	113361
134023	122198
133598	126408
133043	129021
132208	132251
130852	135226
127723	135276
127660	135450
127655	135653
127640	136336
127105	138063
127050	139798
126270	141293
126005	141698
126004	145926
125249	149866
124414	153096
120215	154511
117986	155298
115234	155368
113192	155786
108754	157206
107919	160436
106989	160486
105497	160776
104159	160826
81729	161141
78977	161211
