63
28
980	520	0	0	0	1	0	0	1	0	0	0	1	1	0	1	1	1	0	0	0	1	0	0	1	0	0	1	0	0	
974	688	0	1	0	0	0	0	1	0	0	0	1	1	0	1	1	0	0	1	0	1	0	0	1	0	0	1	1	0	
970	750	0	1	0	0	0	1	1	0	0	0	1	1	0	1	1	0	0	1	0	1	0	0	1	0	0	1	0	0	
966	794	0	1	1	0	0	0	1	0	1	0	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	1	0	0	
964	853	1	1	0	0	0	0	0	0	1	0	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	
963	892	0	1	0	1	0	0	0	0	1	0	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	1	1	0	
959	954	0	1	0	1	0	1	0	0	1	0	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	
958	956	1	1	0	1	0	0	1	0	1	0	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	1	0	0	
953	965	0	1	0	0	0	1	1	0	1	0	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	1	1	0	
949	1024	0	1	0	0	0	1	1	0	1	0	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	1	0	1	
944	1030	0	1	0	0	0	1	1	0	0	0	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	0	1	1	
934	1040	0	1	0	0	0	1	1	0	1	0	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	0	0	1	
933	1044	1	1	0	0	0	1	0	0	1	0	1	1	0	1	1	0	0	1	0	1	0	0	1	0	1	1	0	0	
932	1084	1	0	0	1	0	1	1	0	1	0	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	0	1	0	
929	1088	1	1	1	1	0	1	1	0	1	0	1	1	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	
928	1143	1	0	0	1	0	1	1	0	1	0	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	0	0	1	
927	1144	0	1	0	1	0	1	1	0	1	0	1	1	0	1	1	0	0	1	0	1	0	1	0	0	1	1	0	0	
922	1153	1	1	0	0	0	1	0	0	1	0	1	1	0	1	1	0	0	1	0	1	0	0	1	0	0	1	1	1	
921	1155	1	1	0	0	0	1	1	0	1	0	1	1	0	1	1	0	0	1	0	1	0	1	0	0	0	1	1	0	
918	1209	0	1	0	1	0	1	1	0	0	0	1	1	0	1	1	0	0	1	0	1	0	1	1	0	1	0	0	1	
917	1214	1	1	0	0	0	1	1	0	1	0	1	1	0	1	1	0	0	1	0	1	0	1	0	0	0	1	0	1	
916	1256	1	1	0	1	0	1	1	0	1	0	1	1	0	1	1	0	0	1	0	1	0	0	0	0	0	1	1	1	
912	1315	1	1	0	1	0	1	0	0	1	0	1	1	0	1	1	1	0	1	0	1	0	1	1	0	1	0	0	0	
907	1320	1	1	0	1	0	1	0	0	0	0	1	1	0	1	1	1	0	1	0	1	0	0	1	0	1	0	1	1	
906	1322	1	1	0	1	0	1	1	0	0	0	1	1	0	1	1	1	0	1	0	1	0	1	0	0	1	0	1	0	
904	1326	1	1	1	0	0	1	1	0	1	0	1	1	0	1	1	1	0	1	0	1	0	1	0	0	0	0	0	1	
903	1365	0	1	1	1	0	1	1	0	1	0	1	1	0	1	1	1	0	1	0	1	0	1	0	0	0	0	1	1	
902	1381	1	1	0	1	0	1	1	0	0	0	1	1	0	1	1	1	0	1	0	1	0	1	0	0	1	0	0	1	
901	1424	1	1	0	1	0	1	0	0	1	0	1	1	0	1	1	1	0	1	0	1	0	1	1	0	0	0	1	1	
891	1432	1	1	0	1	0	1	0	0	1	1	1	1	0	1	1	1	0	1	0	1	0	1	1	0	0	0	0	1	
885	1443	1	1	0	1	0	1	1	0	1	0	1	1	0	1	1	1	0	1	0	0	0	1	1	0	0	0	1	1	
877	1451	1	1	1	1	0	1	1	0	0	0	1	1	0	1	1	0	0	1	0	1	0	1	0	0	1	0	1	1	
871	1455	1	1	0	1	0	1	0	0	0	0	1	1	0	1	1	1	1	1	0	0	0	1	0	0	1	1	1	1	
870	1456	1	1	0	1	0	1	0	0	1	0	1	1	0	1	0	1	0	1	0	1	0	1	1	0	1	0	1	1	
869	1459	1	1	0	1	0	1	1	0	1	0	1	1	0	1	0	1	0	1	0	0	0	1	0	0	1	1	1	1	
868	1500	1	1	1	1	0	1	0	0	1	0	1	1	0	1	1	1	1	1	0	1	0	1	0	0	0	0	1	1	
866	1559	1	1	0	1	0	1	0	0	1	0	1	1	0	1	1	1	1	1	0	1	0	1	0	0	1	0	1	1	
856	1571	1	1	1	1	0	1	0	0	1	0	1	1	0	1	1	1	0	1	0	0	0	1	1	0	1	0	1	1	
850	1578	1	1	0	1	0	1	1	0	1	0	1	1	0	1	1	1	1	1	0	0	0	1	0	0	1	0	1	1	
848	1580	1	1	0	1	0	1	1	0	1	1	1	1	0	1	1	0	0	1	0	0	0	1	1	0	1	0	1	1	
840	1590	1	1	1	0	0	1	1	0	1	1	1	1	0	1	1	1	0	1	0	0	0	1	0	0	1	0	1	1	
832	1593	1	1	0	1	0	1	0	0	1	1	0	1	0	1	1	1	0	1	0	0	0	1	1	0	1	1	1	1	
830	1599	1	1	0	0	0	1	1	0	1	1	1	1	0	1	1	1	0	1	0	0	0	1	0	1	1	0	1	1	
823	1646	1	1	1	1	1	1	0	0	1	0	1	1	0	1	1	1	1	1	0	0	0	1	0	0	1	0	1	1	
